2025-10-11T12:52:43.180-04:00 DEBUG 23568 --- [move] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing POST /api/auth/refresh
2025-10-11T12:52:43.182-04:00 DEBUG 23568 --- [move] [http-nio-8080-exec-7] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-10-11T12:52:43.182-04:00 DEBUG 23568 --- [move] [http-nio-8080-exec-7] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id 22CFD6A5DD234AEE17A237C62411AF9F
2025-10-11T12:52:43.182-04:00 DEBUG 23568 --- [move] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured POST /api/auth/refresh
2025-10-11T12:52:43.214-04:00 DEBUG 23568 --- [move] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing POST /api/frontend/log
2025-10-11T12:52:43.217-04:00 DEBUG 23568 --- [move] [http-nio-8080-exec-8] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-10-11T12:52:43.318-04:00 DEBUG 23568 --- [move] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing POST /api/auth/refresh
2025-10-11T12:52:43.318-04:00 DEBUG 23568 --- [move] [http-nio-8080-exec-9] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-10-11T12:52:43.320-04:00 DEBUG 23568 --- [move] [http-nio-8080-exec-9] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id 22CFD6A5DD234AEE17A237C62411AF9F
2025-10-11T12:52:43.320-04:00 DEBUG 23568 --- [move] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured POST /api/auth/refresh
2025-10-11T12:52:43.339-04:00 DEBUG 23568 --- [move] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/auth/logout
2025-10-11T12:52:43.345-04:00 DEBUG 23568 --- [move] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing POST /api/auth/logout
2025-10-11T12:52:43.347-04:00 DEBUG 23568 --- [move] [http-nio-8080-exec-1] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-10-11T12:52:43.348-04:00 DEBUG 23568 --- [move] [http-nio-8080-exec-1] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id 22CFD6A5DD234AEE17A237C62411AF9F
2025-10-11T12:52:43.348-04:00 DEBUG 23568 --- [move] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured POST /api/auth/logout
